"GeneID" "Cluster" "Name"
"370" "YBR111C" "insignificant" "YSA1"
"371" "YBR111W-A" "insignificant" "SUS1"
"372" "YBR112C" "insignificant" "CYC8"
"373" "YBR113W" "insignificant" ""
"374" "YBR114W" "insignificant" "RAD16"
"375" "YBR115C" "insignificant" "LYS2"
"376" "YBR116C" "insignificant" ""
"377" "YBR117C" "insignificant" "TKL2"
"378" "YBR118W" "insignificant" "TEF2"
"379" "YBR119W" "insignificant" "MUD1"
"380" "YBR120C" "insignificant" "CBP6"
"381" "YBR121C" "insignificant" "GRS1"
"382" "YBR122C" "insignificant" "MRPL36"
"383" "YBR123C" "insignificant" "TFC1"
"384" "YBR124W" "insignificant" ""
"385" "YBR125C" "cluster4" "PTC4"
"386" "YBR126C" "cluster6" "TPS1"
"387" "YBR126W-A" "insignificant" "MEO1"
"388" "YBR126W-B" "insignificant" ""
"389" "YBR127C" "insignificant" "VMA2"
"390" "YBR128C" "insignificant" "ATG14"
"391" "YBR129C" "insignificant" "OPY1"
"392" "YBR130C" "insignificant" "SHE3"
"393" "YBR131C-A" "insignificant" ""
"394" "YBR131W" "insignificant" "CCZ1"
"395" "YBR132C" "insignificant" "AGP2"
"396" "YBR133C" "insignificant" "HSL7"
"397" "YBR134W" "insignificant" ""
"398" "YBR135W" "cluster4" "CKS1"
"399" "YBR136W" "cluster1" "MEC1"
"400" "YBR137W" "insignificant" ""
"401" "YBR138C" "insignificant" ""
"402" "YBR139W" "cluster2" ""
"403" "YBR140C" "insignificant" "IRA1"
"404" "YBR141C" "insignificant" "BMT2"
"405" "YBR141W-A" "insignificant" ""
"406" "YBR142W" "insignificant" "MAK5"
"407" "YBR143C" "insignificant" "SUP45"
"408" "YBR144C" "insignificant" ""
"409" "YBR145W" "insignificant" "ADH5"
"410" "YBR146W" "insignificant" "MRPS9"
"411" "YBR147W" "insignificant" "RTC2"
"412" "YBR148W" "insignificant" "YSW1"
"413" "YBR149W" "insignificant" "ARA1"
"414" "YBR150C" "insignificant" "TBS1"
"415" "YBR151W" "insignificant" "APD1"
"416" "YBR152W" "insignificant" "SPP381"
"417" "YBR153W" "insignificant" "RIB7"
"418" "YBR154C" "insignificant" "RPB5"
