"GeneID" "Cluster" "Name"
"356" "YBR098W" "cluster2" "MMS4"
"357" "YBR099C" "insignificant" ""
"358" "YBR101C" "insignificant" "FES1"
"359" "YBR102C" "insignificant" "EXO84"
"360" "YBR103C-A" "insignificant" ""
"361" "YBR103W" "cluster1" "SIF2"
"362" "YBR104W" "cluster5" "YMC2"
"363" "YBR105C" "insignificant" "VID24"
"364" "YBR106W" "insignificant" "PHO88"
"365" "YBR107C" "insignificant" "IML3"
"366" "YBR108W" "cluster3" "AIM3"
"367" "YBR109C" "insignificant" "CMD1"
"368" "YBR109W-A" "insignificant" ""
"369" "YBR110W" "insignificant" "ALG1"
"370" "YBR111C" "insignificant" "YSA1"
"371" "YBR111W-A" "cluster2" "SUS1"
"372" "YBR112C" "cluster1" "CYC8"
"373" "YBR113W" "insignificant" ""
"374" "YBR114W" "insignificant" "RAD16"
"375" "YBR115C" "insignificant" "LYS2"
"376" "YBR116C" "insignificant" ""
"377" "YBR117C" "cluster8" "TKL2"
"378" "YBR118W" "cluster4" "TEF2"
"379" "YBR119W" "insignificant" "MUD1"
"380" "YBR120C" "insignificant" "CBP6"
"381" "YBR121C" "cluster5" "GRS1"
"382" "YBR122C" "insignificant" "MRPL36"
"383" "YBR123C" "cluster1" "TFC1"
"384" "YBR124W" "insignificant" ""
"385" "YBR125C" "insignificant" "PTC4"
"386" "YBR126C" "cluster8" "TPS1"
"387" "YBR126W-A" "insignificant" "MEO1"
"388" "YBR126W-B" "insignificant" ""
"389" "YBR127C" "insignificant" "VMA2"
"390" "YBR128C" "cluster3" "ATG14"
"391" "YBR129C" "cluster2" "OPY1"
"392" "YBR130C" "insignificant" "SHE3"
"393" "YBR131C-A" "insignificant" ""
"394" "YBR131W" "insignificant" "CCZ1"
"395" "YBR132C" "cluster8" "AGP2"
"396" "YBR133C" "insignificant" "HSL7"
"397" "YBR134W" "insignificant" ""
"398" "YBR135W" "cluster1" "CKS1"
"399" "YBR136W" "insignificant" "MEC1"
"400" "YBR137W" "cluster3" ""
"401" "YBR138C" "cluster2" ""
"402" "YBR139W" "cluster3" ""
"403" "YBR140C" "insignificant" "IRA1"
"404" "YBR141C" "insignificant" "BMT2"
"405" "YBR141W-A" "insignificant" ""
"406" "YBR142W" "cluster6" "MAK5"
"407" "YBR143C" "cluster5" "SUP45"
"408" "YBR144C" "insignificant" ""
"409" "YBR145W" "cluster9" "ADH5"
"410" "YBR146W" "insignificant" "MRPS9"
"411" "YBR147W" "cluster8" "RTC2"
"412" "YBR148W" "cluster9" "YSW1"
"413" "YBR149W" "cluster3" "ARA1"
"414" "YBR150C" "insignificant" "TBS1"
"415" "YBR151W" "insignificant" "APD1"
"416" "YBR152W" "insignificant" "SPP381"
"417" "YBR153W" "cluster1" "RIB7"
"418" "YBR154C" "cluster5" "RPB5"
"419" "YBR155W" "cluster6" "CNS1"
"420" "YBR156C" "cluster1" "SLI15"
"421" "YBR157C" "cluster9" "ICS2"
"422" "YBR158W" "cluster4" "AMN1"
"423" "YBR159W" "insignificant" "IFA38"
"424" "YBR160W" "insignificant" "CDC28"
"425" "YBR161W" "cluster2" "CSH1"
"426" "YBR162C" "cluster7" "TOS1"
"427" "YBR162W-A" "insignificant" "YSY6"
"428" "YBR163W" "insignificant" "EXO5"
"429" "YBR164C" "insignificant" "ARL1"
"430" "YBR165W" "cluster2" "UBS1"
"431" "YBR166C" "cluster1" "TYR1"
"432" "YBR167C" "insignificant" "POP7"
"433" "YBR168W" "insignificant" "PEX32"
"434" "YBR169C" "insignificant" "SSE2"
"435" "YBR170C" "cluster2" "NPL4"
"436" "YBR171W" "insignificant" "SEC66"
"437" "YBR172C" "cluster5" "SMY2"
"438" "YBR173C" "cluster2" "UMP1"
"439" "YBR174C" "insignificant" ""
"440" "YBR175W" "insignificant" "SWD3"
