"GeneID" "Cluster" "Name"
"437" "YBR172C" "cluster4" "SMY2"
"438" "YBR173C" "cluster4" "UMP1"
"439" "YBR174C" "insignificant" ""
"440" "YBR175W" "insignificant" "SWD3"
"441" "YBR176W" "insignificant" "ECM31"
"442" "YBR177C" "cluster6" "EHT1"
"443" "YBR178W" "insignificant" ""
"444" "YBR179C" "insignificant" "FZO1"
"445" "YBR180W" "insignificant" "DTR1"
"446" "YBR181C" "cluster2" "RPS6B"
"447" "YBR182C" "cluster3" "SMP1"
"448" "YBR182C-A" "insignificant" ""
"449" "YBR183W" "cluster3" "YPC1"
"450" "YBR184W" "insignificant" ""
"451" "YBR185C" "insignificant" "MBA1"
"452" "YBR186W" "cluster7" "PCH2"
"453" "YBR187W" "cluster2" "GDT1"
"454" "YBR188C" "insignificant" "NTC20"
"455" "YBR189W" "cluster2" "RPS9B"
"456" "YBR190W" "insignificant" ""
"457" "YBR191W" "cluster2" "RPL21A"
"458" "YBR191W-A" "insignificant" ""
"459" "YBR192W" "insignificant" "RIM2"
"460" "YBR193C" "insignificant" "MED8"
"461" "YBR194W" "cluster4" "AIM4"
"462" "YBR195C" "insignificant" "MSI1"
"463" "YBR196C" "cluster8" "PGI1"
"464" "YBR196C-A" "insignificant" ""
"465" "YBR196C-B" "insignificant" ""
"466" "YBR197C" "insignificant" ""
"467" "YBR198C" "insignificant" "TAF5"
"468" "YBR199W" "cluster4" "KTR4"
"469" "YBR200W" "insignificant" "BEM1"
"470" "YBR200W-A" "insignificant" ""
"471" "YBR201C-A" "insignificant" ""
"472" "YBR201W" "cluster4" "DER1"
"473" "YBR202W" "cluster4" "MCM7"
"474" "YBR203W" "insignificant" "COS111"
"475" "YBR204C" "insignificant" "LDH1"
"476" "YBR205W" "cluster2" "KTR3"
"477" "YBR206W" "insignificant" ""
"478" "YBR207W" "insignificant" "FTH1"
"479" "YBR208C" "cluster8" "DUR1,2"
"480" "YBR209W" "insignificant" ""
"481" "YBR210W" "insignificant" "ERV15"
"482" "YBR211C" "insignificant" "AME1"
"483" "YBR212W" "cluster6" "NGR1"
"484" "YBR213W" "insignificant" "MET8"
"485" "YBR214W" "cluster3" "SDS24"
"486" "YBR215W" "insignificant" "HPC2"
"487" "YBR216C" "insignificant" "YBP1"
"488" "YBR217W" "cluster4" "ATG12"
"489" "YBR218C" "cluster2" "PYC2"
"490" "YBR219C" "insignificant" ""
"491" "YBR220C" "insignificant" ""
"492" "YBR221C" "insignificant" "PDB1"
"493" "YBR221W-A" "insignificant" ""
"494" "YBR222C" "insignificant" "PCS60"
"495" "YBR223C" "cluster6" "TDP1"
"496" "YBR223W-A" "insignificant" ""
"497" "YBR224W" "insignificant" ""
"498" "YBR225W" "cluster6" ""
"499" "YBR227C" "cluster4" "MCX1"
"500" "YBR228W" "cluster4" "SLX1"
"501" "YBR229C" "insignificant" "ROT2"
"502" "YBR230C" "cluster3" "OM14"
"503" "YBR230W-A" "cluster3" ""
"504" "YBR231C" "cluster4" "SWC5"
"505" "YBR232C" "insignificant" ""
"506" "YBR233W" "cluster4" "PBP2"
"507" "YBR233W-A" "insignificant" "DAD3"
"508" "YBR234C" "insignificant" "ARC40"
"509" "YBR235W" "insignificant" "VHC1"
"510" "YBR236C" "insignificant" "ABD1"
"511" "YBR237W" "insignificant" "PRP5"
"512" "YBR238C" "cluster8" ""
"513" "YBR239C" "cluster4" "ERT1"
"514" "YBR240C" "cluster3" "THI2"
"515" "YBR241C" "cluster3" ""
"516" "YBR242W" "cluster4" ""
"517" "YBR243C" "cluster4" "ALG7"
"518" "YBR244W" "insignificant" "GPX2"
"519" "YBR245C" "insignificant" "ISW1"
"520" "YBR246W" "insignificant" "RRT2"
"521" "YBR247C" "cluster2" "ENP1"
"522" "YBR248C" "cluster2" "HIS7"
"523" "YBR249C" "cluster2" "ARO4"
"524" "YBR250W" "insignificant" "SPO23"
